Date,Close
1/2/2019,71.59306468
1/3/2019,69.3648348
1/4/2019,69.87073182
1/7/2019,69.59391881
1/8/2019,73.13545837
1/9/2019,75.84397062
1/10/2019,70.54685921
1/11/2019,75.7492294
1/14/2019,74.487673
1/15/2019,71.71591681
1/16/2019,75.72411921
1/17/2019,70.92514798
1/18/2019,69.12960877
1/22/2019,62.52652689
1/23/2019,64.8786385
1/24/2019,58.41163422
1/25/2019,68.71430753
1/28/2019,64.67830977
1/29/2019,68.65994646
1/30/2019,71.96510006
1/31/2019,68.63535048
2/1/2019,61.6230684
2/4/2019,61.60048495
2/5/2019,63.81753357
2/6/2019,61.75079948
2/7/2019,64.72570828
2/8/2019,55.92806306
2/11/2019,55.18530333
2/12/2019,56.32066837
2/13/2019,54.68023342
2/14/2019,51.52614028
2/15/2019,47.71335513
1/2/2019,134.2213162
1/3/2019,132.8828771
1/4/2019,134.1748128
1/7/2019,134.7103681
1/8/2019,138.9709336
1/9/2019,142.40569
1/10/2019,138.1029322
1/11/2019,144.0320065
1/14/2019,143.6705074
1/15/2019,141.784445
1/16/2019,146.6209551
1/17/2019,142.6908168
1/18/2019,141.696227
1/22/2019,135.480242
1/23/2019,138.868296
1/24/2019,132.4665942
1/25/2019,144.8009407
1/28/2019,141.2726715
1/29/2019,146.4886312
1/30/2019,150.9212183
1/31/2019,148.2285111
2/1/2019,141.1971883
2/4/2019,142.0197471
2/5/2019,145.4556656
2/6/2019,143.9101899
2/7/2019,148.2674805
2/8/2019,138.5191724
2/11/2019,138.4114394
2/12/2019,140.6874821
2/13/2019,139.429903
2/14/2019,136.1096025
2/15/2019,131.6980794
1/2/2019,194.2327673
1/3/2019,191.2978029
1/4/2019,193.0608201
1/7/2019,193.4711544
1/8/2019,200.5148748
1/9/2019,206.091642
1/10/2019,197.8490551
1/11/2019,207.8392067
1/14/2019,206.6115409
1/15/2019,202.6863367
1/16/2019,210.6923215
1/17/2019,203.1471166
1/18/2019,200.8291506
1/22/2019,189.4403029
1/23/2019,194.7778143
1/24/2019,183.2012903
1/25/2019,203.9156679
1/28/2019,197.2235628
1/29/2019,205.7039555
1/30/2019,212.8427185
1/31/2019,207.5643315
2/1/2019,194.8890433
2/4/2019,195.745324
2/5/2019,201.0623946
2/6/2019,197.8624046
2/7/2019,204.733694
2/8/2019,187.6640556
2/11/2019,186.9569276
2/12/2019,190.2370636
2/13/2019,187.6046888
2/14/2019,181.5752715
2/15/2019,173.8242234
1/2/2019,24.00574949
1/3/2019,23.36879742
1/4/2019,23.45285874
1/7/2019,23.33080771
1/8/2019,24.2054836
1/9/2019,24.85304375
1/10/2019,23.43236974
1/11/2019,24.72435347
1/14/2019,24.34964821
1/15/2019,23.58674543
1/16/2019,24.56226536
1/17/2019,23.28435154
1/18/2019,22.77297876
1/22/2019,21.00520457
1/23/2019,21.57666323
1/24/2019,19.8299452
1/25/2019,22.4696281
1/28/2019,21.38323799
1/29/2019,22.36131518
1/30/2019,23.15202949
1/31/2019,22.26108164
2/1/2019,20.41461067
2/4/2019,20.36581349
2/5/2019,20.89415755
2/6/2019,20.31900306
2/7/2019,21.03809778
2/8/2019,18.72212179
2/11/2019,18.48795417
2/12/2019,18.74595219
2/13/2019,18.27803645
2/14/2019,17.40956501
2/15/2019,16.35687768
